date,顺发恒业,贵州茅台,重庆啤酒,中南传媒,海天味业,五粮液
20170103,4.86,334.56,18.3,16.76,29.72,34.66
20170104,4.87,351.91,18.46,16.78,29.73,35.9
20170105,4.89,346.74,18.68,16.63,29.83,35.93
20170106,4.79,350.76,18.34,16.31,29.6,36.1
20170109,4.85,348.51,18.5,16.39,30.14,36.45
20170110,4.84,349,18.54,16.26,30.25,36.5
20170111,4.77,345.45,18.8,16.3,29.91,35.86
20170112,4.76,347.05,18.79,16.14,29.88,35.6
20170113,4.67,344.87,17.69,16.18,31.65,35.69
20170116,4.52,341.47,17.64,16.37,32.11,35.45
20170117,4.52,349.13,18.15,16.3,31.4,35.76
20170118,4.54,355.08,18.35,16.38,31.14,36.95
20170119,4.59,354.72,18.4,16.61,31.16,36.85
20170120,4.66,354.99,18.69,16.7,31.19,36.91
20170123,4.7,351.22,18.64,16.61,31.03,37.38
20170124,4.71,350.31,18.59,16.64,31.16,37.42
20170125,4.68,347.63,19.66,16.69,31.08,37.27
20170126,4.7,344.42,19.69,16.68,31.21,37
20170203,4.66,346.85,20.21,16.7,30.03,36.41
20170206,4.74,346.85,20.16,16.93,29.76,36.45
20170207,4.75,343.58,19.89,17.04,29.76,36.45
20170208,4.83,344.21,20.23,17.03,29.93,37.09
20170209,4.84,347.61,20.25,17.18,29.77,37.34
20170210,4.83,345.08,20.47,17.04,29.89,37.83
20170213,4.87,349.75,20.72,17.11,30.84,38.58
20170214,4.83,350.21,20.54,16.96,30.92,38.66
20170215,4.85,348.53,19.93,16.79,30.8,38.4
20170216,5.34,348.09,20.01,16.93,30.81,38.46
20170217,5.12,350.56,19.88,16.78,30.72,38.95
20170220,5.1,361.29,20.38,17.08,31.01,41.4
20170221,5.06,358.74,20.26,17.15,30.78,40.86
20170222,5.04,361.89,20.58,17.2,30.49,41.28
20170223,4.96,361.7,20.58,17.17,30.4,40.48
20170224,4.98,362.62,20.35,17.45,30.48,40.29
20170227,4.92,357.2,20.43,17.36,31.09,39.39
20170228,4.95,354.66,20.27,17.39,30.89,39.56
20170301,4.93,356.61,20.31,17.4,30.85,39.98
20170302,4.9,356.82,20.43,17.23,30.67,39.96
20170303,4.92,356.54,20.24,17.34,30.94,39.99
20170306,4.95,358.96,20.34,17.27,30.95,40.55
20170307,4.94,367.2,21.06,17.29,31.37,41.65
20170308,4.9,367.28,21.66,17.24,31.12,41.12
20170309,4.88,369.9,21.28,17.14,30.87,40.67
20170310,4.89,369.85,21.19,17.05,31.61,40.66
20170313,4.94,371.55,21.61,17.2,31.92,41.65
20170314,4.96,369.5,21.24,17.4,31.39,41.38
20170315,4.92,374.68,21.19,17.49,31.36,41.54
20170316,5.04,374.77,21.41,17.47,31.49,41.04
20170317,4.96,378.48,21.04,17.5,31.14,40.76
20170320,4.97,386.41,21.03,17.6,31.16,41.09
20170321,4.98,394.01,21.51,17.65,31.7,43.38
20170322,4.94,394.48,21.8,17.57,32.44,43.96
20170323,4.92,389.79,21.54,17.83,34.24,43.56
20170324,4.92,386.82,21.8,18.01,33.59,43.24
20170327,4.97,378.82,22.11,17.81,34.11,42.55
20170328,4.92,380.26,22.21,17.66,34.95,42.77
20170329,5,383.65,22.01,17.8,34.31,43.1
20170330,4.86,386.14,21.4,17.73,34.48,42.73
20170331,4.94,386.36,21.68,17.97,34.81,43
20170405,5,389.66,21.69,17.9,35.58,43.12
20170406,4.98,391.91,21.64,18.34,35.96,42.95
20170407,4.99,392.87,21.64,18.31,35.66,42.69
20170410,4.99,389.2,20.82,18.15,35.06,41.66
20170411,5.11,385.29,20.61,17.84,35.68,40.95
20170412,5.05,390.23,20.31,17.72,35.3,42.05
20170413,5.09,398.39,20.54,17.93,35.32,42.81
20170414,5.08,395.45,21.46,17.64,34.72,42.35
20170417,4.97,395.79,22.15,17.65,34.82,42.96
20170418,4.94,404.65,22.52,17.84,36.07,43.88
20170419,4.86,405.74,22.65,17.4,36.24,44
20170420,4.78,415.31,23.16,17.43,37.15,45.65
20170421,4.79,400.53,22.25,17.59,36.77,45.65
20170424,4.74,398.55,21.91,17.65,36.23,44.31
20170425,4.72,418.89,23.35,17.5,36.08,46.6
20170426,4.72,417.96,23,17.13,36.89,45.7
20170427,4.63,421.44,22.58,16.83,36.79,46
20170428,4.58,413.48,22.43,16.8,36.84,45.5
20170502,4.6,412.08,23.09,16.79,37.45,44.6
20170503,4.7,417.61,22.45,17.04,36.2,44.92
20170504,4.64,416,22.69,16.77,37,44.38
20170505,4.52,416.19,22.11,16.9,36.4,44.16
20170508,4.38,405.48,21.57,17.21,35.49,42.62
20170509,4.44,408.76,21.63,17.19,34.75,43.67
20170510,4.39,410.09,21.96,17.09,35.48,43.49
20170511,4.35,412.16,21.68,17.14,36.01,44.33
20170512,4.34,413.47,21.5,17.17,36.6,44.25
20170515,4.3,419.55,22.29,17.04,37.93,45.18
20170516,4.35,430.12,22.49,17.14,38.2,47.6
20170517,4.33,426.6,22.7,17.08,37.38,46.36
20170518,4.37,429.54,22.43,16.94,38.62,46.5
20170519,4.33,440.82,22.09,17.05,39,47.08
20170522,4.24,441.78,21.87,17,38.6,47.13
20170523,4.18,454.2,21.67,16.99,39.5,48.26
20170524,4.19,450.32,21.96,17.07,38.96,47.95
20170525,4.29,450.6,22.04,17.16,38.84,47.73
20170526,4.24,451.92,22.26,17.21,38.83,47.56
20170531,4.28,442.94,21.95,17.42,38.94,47.88
20170601,4.14,449.28,21.9,17.32,40.47,48.34
20170602,4.21,447.31,22,17.4,40.15,47.96
20170605,4.28,444.41,22.37,17.46,39.74,47.09
20170606,4.3,448.82,22.38,17.32,40,48.51
20170607,4.39,459.37,22.8,17.62,40.03,50.9
20170608,4.38,464.31,22.95,17.79,41.66,51.4
20170609,4.38,465.74,23.17,17.91,41.99,52.17
20170612,4.25,472.88,23,18.05,42.11,54.83
20170613,4.31,473.04,23.2,18.24,42.55,54.69
20170614,4.33,474.39,22.95,18.1,42,53.7
20170615,4.33,464.3,22.95,17.99,40.59,52.21
20170616,4.34,462.63,22.25,17.96,40.23,52.02
20170619,4.35,470.17,22.34,18.15,40.86,52.57
20170620,4.32,466.3,22.97,18.37,40.04,52.2
20170621,4.35,472.71,22.94,17.62,41.21,54.61
20170622,4.41,472.75,22.52,17.89,40.13,54.15
20170623,4.31,472.73,23.81,17.76,41.29,55
20170626,4.34,484.68,24.24,18.18,41.13,56.74
