date,中证100
20170103,3166.4
20170104,3188.31
20170105,3187.5
20170106,3169.13
20170109,3181
20170110,3175.16
20170111,3158.72
20170112,3149.72
20170113,3164.27
20170116,3184.48
20170117,3184.61
20170118,3203.44
20170119,3192.47
20170120,3213.7
20170123,3217.34
20170124,3221.61
20170125,3231.46
20170126,3241.15
20170203,3212.4
20170206,3215.4
20170207,3206.13
20170208,3222.07
20170209,3235.55
20170210,3253.22
20170213,3276.41
20170214,3272.47
20170215,3268.05
20170216,3283.59
20170217,3264.71
20170220,3312.22
20170221,3317.23
20170222,3322.15
20170223,3304.92
20170224,3304.37
20170227,3276.02
20170228,3278.31
20170301,3282.64
20170302,3258.93
20170303,3248.57
20170306,3259.64
20170307,3268.51
20170308,3268.87
20170309,3249.63
20170310,3249.43
20170313,3270.66
20170314,3273.7
20170315,3282.39
20170316,3296.51
20170317,3264.49
20170320,3269.41
20170321,3287.29
20170322,3268.96
20170323,3282.36
20170324,3309.14
20170327,3299.01
20170328,3290.63
20170329,3286.27
20170330,3268.17
20170331,3288.07
20170405,3323.87
20170406,3335.25
20170407,3334.1
20170410,3323.22
20170411,3327.95
20170412,3326.85
20170413,3323.28
20170414,3300.51
20170417,3302.82
20170418,3286.26
20170419,3273.18
20170420,3292.54
20170421,3306.3
20170424,3284.15
20170425,3296.61
20170426,3297.51
20170427,3298.71
20170428,3287.39
20170502,3276.02
20170503,3266.56
20170504,3262.72
20170505,3253.42
20170508,3243.51
20170509,3232.22
20170510,3237.54
20170511,3264.23
20170512,3300.45
20170515,3309.6
20170516,3325.14
20170517,3299.13
20170518,3293.1
20170519,3304.36
20170522,3328.03
20170523,3363.84
20170524,3359.79
20170525,3431.33
20170526,3430.63
20170531,3445.58
20170601,3466.89
20170602,3444.83
20170605,3415.58
20170606,3442.77
20170607,3475.21
20170608,3509.33
20170609,3525.37
20170612,3535.4
20170613,3530.83
20170614,3475.42
20170615,3459.17
20170616,3446.67
20170619,3486.48
20170620,3477
20170621,3519.84
20170622,3535.02
20170623,3570.2
20170626,3607.93
20170627,3618.66
20170628,3590.29
20170629,3612.03
20170630,3608.66
20170703,3582.76
20170704,3547.07
20170705,3591.76
20170706,3593.06
20170707,3579.82
20170710,3585.93
20170711,3623.94
20170712,3610.73
20170713,3647.15
20170714,3672.7
20170717,3665.52
20170718,3660.26
20170719,3708.52
20170720,3723.21
20170721,3693.51
20170724,3708.76
20170725,3689.14
20170726,3671.45
20170727,3666.76
20170728,3674.46
20170731,3678.17
20170801,3723.77
20170802,3718.39
20170803,3673.65
20170804,3651.24
20170807,3665.23
20170808,3663.76
20170809,3659
20170810,3646.65
20170811,3583.26
20170814,3614.48
20170815,3626.92
20170816,3618.52
20170817,3631.59
20170818,3641.7
20170821,3651.56
20170822,3677.87
20170823,3694.9
20170824,3679.57
20170825,3749.47
20170828,3794.59
20170829,3791.09
20170830,3782.47
20170831,3761.8
20170901,3762.63
20170904,3773.2
20170905,3791.88
20170906,3779.52
20170907,3757.55
20170908,3749.45
20170911,3735.34
20170912,3753.37
20170913,3756.03
20170914,3742.6
20170915,3748.01
20170918,3755.78
20170919,3750.27
20170920,3754.49
20170921,3765.64
20170922,3775.33
20170925,3763.55
20170926,3763.47
20170927,3754.01
20170928,3756.96
20170929,3769.67
20171009,3814.78
20171010,3820.7
20171011,3843.69
20171012,3856.84
20171013,3858.45
20171016,3867.23
20171017,3869.68
20171018,3911.84
20171019,3907.08
20171020,3889.93
20171023,3887.35
20171024,3918.4
20171025,3936.05
20171026,3956.58
20171027,4007.66
20171030,4010.5
20171031,3997
20171101,3985.91
20171102,3991.88
20171103,3993.88
20171106,4012.01
20171107,4047.52
20171108,4036.02
20171109,4063.59
20171110,4102.25
20171113,4113.15
20171114,4087.52
20171115,4074.76
20171116,4114.42
20171117,4167.02
20171120,4186.33
20171121,4273.76
20171122,4292.39
20171123,4166.02
20171124,4168.59
20171127,4117.39
20171128,4105.35
20171129,4102.98
20171130,4054.77
20171201,4030.53
20171204,4063.19
20171205,4114.48
20171206,4071.29
20171207,4018.7
20171208,4050.91
20171211,4119.85
20171212,4059.32
20171213,4098.14
20171214,4073.76
20171215,4020.94
20171218,4032.46
20171219,4090.12
20171220,4095.83
20171221,4134.64
20171222,4118.88
20171225,4113.16
20171226,4122.96
20171227,4044.97
20171228,4077.89
20171229,4081.25
20180102,4147.73
20180103,4157.57
20180104,4180.52
20180105,4198.48
20180108,4221.68
20180109,4263.8
20180110,4303.64
20180111,4297.02
20180112,4334.23
20180115,4369.91
20180116,4400.94
20180117,4393.93
20180118,4424.49
20180119,4436.89
20180122,4491.64
20180123,4548.33
20180124,4546.39
20180125,4516.45
20180126,4540.85
20180129,4448.92
20180130,4390.17
20180131,4441.55
20180201,4444.41
20180202,4463.06
20180205,4476.91
20180206,4367.13
20180207,4239.9
20180208,4171.93
20180209,3989.36
20180212,4021.29
20180213,4079.64
20180214,4115.39
20180222,4202.27
20180223,4228.19
20180226,4263.7
20180227,4186.87
20180228,4132.05
20180301,4154.63
20180302,4122.09
20180305,4118.86
20180306,4164.89
20180307,4137.16
20180308,4185.51
20180309,4208.86
20180312,4215.12
20180313,4178.22
20180314,4162.23
20180315,4195.87
20180316,4152.88
20180319,4177.79
20180320,4180.96
20180321,4164.27
20180322,4118.34
20180323,4016.17
20180326,3959.63
20180327,3974.87
20180328,3893
20180329,3961.24
20180330,3942.11
20180402,3920.94
20180403,3898.58
20180404,3905.43
20180409,3903.66
20180410,3993.29
20180411,4007.79
20180412,3958.6
20180413,3924.84
20180416,3844.02
20180417,3795.89
20180418,3812.76
20180419,3863.84
20180420,3816.5
20180423,3842.01
20180424,3922.83
20180425,3897.1
20180426,3821.98
20180427,3809.33
20180502,3813.49
20180503,3841.94
20180504,3815.56
20180507,3875.16
20180508,3931.69
20180509,3920.66
20180510,3943.08
20180511,3926.4
20180514,3974.06
20180515,3977.9
20180516,3936.09
20180517,3907.43
20180518,3956.68
20180521,3966.34
20180522,3941.41
20180523,3884.49
20180524,3855.3
20180525,3851.49
20180528,3873.67
20180529,3847.59
20180530,3772.24
20180531,3860.97
20180601,3838.31
20180604,3903.45
20180605,3934.23
20180606,3920.84
20180607,3919.85
20180608,3863.9
20180611,3875.79
20180612,3925.9
20180613,3895.15
20180614,3880.75
20180615,3872.6
20180619,3761.53
20180620,3768.49
20180621,3735.29
20180622,3737.84
20180625,3678.62
20180626,3639.32
20180627,3555.04
20180628,3515.75
20180629,3600.85
20180702,3478.57
20180703,3473.82
20180704,3435.61
20180705,3435.92
20180706,3468.79
20180709,3568.3
20180710,3567.5
20180711,3506.75
20180712,3573.66
20180713,3581.65
20180716,3551.66
20180717,3524.97
20180718,3507.34
20180719,3516.79
20180720,3594.45
20180723,3628.88
20180724,3684.64
20180725,3678.8
20180726,3635.83
20180727,3625.75
20180730,3634.68
20180731,3637.53
20180801,3560.38
20180802,3483.83
20180803,3431.92
20180806,3410.17
20180807,3511.25
20180808,3458.23
20180809,3543.31
20180810,3543.99
20180813,3514.76
20180814,3497.45
20180815,3415.23
20180816,3403.83
20180817,3361.87
20180820,3409.42
20180821,3472.96
20180822,3459.22
20180823,3469.32
20180824,3477.4
20180827,3559.06
20180828,3545.89
20180829,3532.01
20180830,3496.74
20180831,3487.98
20180903,3471.57
20180904,3517.86
20180905,3442.64
20180906,3401.26
20180907,3422.25
20180910,3383.48
20180911,3372.38
20180912,3347.16
20180913,3389.46
20180914,3405.75
20180917,3373.81
20180918,3443.83
20180919,3489.53
20180920,3488.28
20180921,3604.85
20180925,3567.7
20180926,3610.61
20180927,3602.48
20180928,3641.08
20181008,3477.21
20181009,3478.55
20181010,3474.42
20181011,3331.31
20181012,3401.65
20181015,3358.42
20181016,3352.73
20181017,3371.2
20181018,3290.39
20181019,3389.76
20181022,3522.12
20181023,3417.95
20181024,3429.4
20181025,3438.12
20181026,3414.43
